ds,Competitor_handle,yhat,yhat_lower,yhat_upper
2023-01-02,Comp_A_RetailFusion,55042.41912958177,54941.04475982952,55141.83610774911
2023-01-04,Comp_A_RetailFusion,55210.59727927342,55102.32179947748,55314.25879190767
2023-01-05,Comp_A_RetailFusion,55277.694298423725,55180.14350587822,55377.234982900256
2023-01-07,Comp_A_RetailFusion,55422.27409215484,55320.80978084925,55521.59941545294
2023-01-08,Comp_A_RetailFusion,55485.57775970381,55382.84716137909,55591.73541900899
2023-01-09,Comp_A_RetailFusion,55560.62488457309,55455.42616119106,55665.297773888764
2023-01-10,Comp_A_RetailFusion,55631.87231289337,55535.03359954686,55735.79739985677
2023-01-11,Comp_A_RetailFusion,55707.86298551346,55604.9973742121,55801.23744794658
2023-01-13,Comp_A_RetailFusion,55826.57777295492,55725.078552660576,55928.41319518804
2023-01-15,Comp_A_RetailFusion,55944.89155234385,55852.53102774865,56045.12521811022
2023-01-16,Comp_A_RetailFusion,56012.95040889855,55907.18704566456,56110.42078391519
2023-01-18,Comp_A_RetailFusion,56151.13656295944,56041.80316571123,56248.90439139312
2023-01-20,Comp_A_RetailFusion,56268.86535063953,56166.23905346189,56371.38405610887
2023-01-21,Comp_A_RetailFusion,56335.11145455776,56236.21379704093,56428.75701576691
2023-01-23,Comp_A_RetailFusion,56471.48508665114,56376.667099035156,56570.827271001726
2023-01-25,Comp_A_RetailFusion,56632.799433388784,56540.04686657829,56732.67781178306
2023-01-27,Comp_A_RetailFusion,56782.749881577736,56683.967156541345,56880.2439797979
2023-01-28,Comp_A_RetailFusion,56867.96082748479,56776.12124017637,56963.405503100155
2023-01-30,Comp_A_RetailFusion,57046.78007368222,56947.607474808945,57146.24831469183
2023-01-31,Comp_A_RetailFusion,57145.76913770992,57040.97658468021,57245.93428116029
2023-02-02,Comp_A_RetailFusion,57347.949427426465,57252.27091874891,57451.028961797805
2023-02-03,Comp_A_RetailFusion,57451.017677319964,57348.25510428457,57553.87367581088
2023-02-05,Comp_A_RetailFusion,57661.49120039044,57559.15240194809,57759.37601345103
2023-02-06,Comp_A_RetailFusion,57779.40153058806,57677.201760253425,57884.928077890945
2023-02-07,Comp_A_RetailFusion,57896.62508447525,57797.28733046033,57992.53869589118
2023-02-08,Comp_A_RetailFusion,58021.165337903985,57917.75961533619,58124.92707517343
2023-02-10,Comp_A_RetailFusion,58242.22841592569,58138.79758571457,58333.34500856228
2023-02-11,Comp_A_RetailFusion,58357.95396766217,58261.59892100784,58460.56367963009
2023-02-12,Comp_A_RetailFusion,58465.29857192516,58367.771678829224,58564.42457785887
2023-02-13,Comp_A_RetailFusion,58584.806994762235,58478.30366240536,58680.72919912236
2023-02-14,Comp_A_RetailFusion,58700.45893752826,58589.756992857605,58797.924614651674
2023-02-15,Comp_A_RetailFusion,58820.31143315185,58715.44240822958,58912.8848364044
2023-02-16,Comp_A_RetailFusion,58919.83386389806,58827.071879915056,59024.30580503373
2023-02-18,Comp_A_RetailFusion,59125.76768440463,59027.25065738856,59232.53722857369
2023-02-19,Comp_A_RetailFusion,59217.698950636295,59113.01171341673,59313.19183803377
2023-02-21,Comp_A_RetailFusion,59416.50700747186,59310.19832294003,59511.38167426757
2023-02-22,Comp_A_RetailFusion,59516.19040732706,59415.35445222397,59613.26934640742
2023-02-24,Comp_A_RetailFusion,59676.82419775526,59578.661157067945,59773.76458378134
2023-02-26,Comp_A_RetailFusion,59829.50892755102,59729.32113244559,59934.73889073191
