Competitor_handle,ds,follower_count,avg_engagement_rate
Comp_A_RetailFusion,2023-01-02,55073.5,0.0094
Comp_A_RetailFusion,2023-01-04,55113.5,0.0155
Comp_A_RetailFusion,2023-01-05,55223.5,0.0111
Comp_A_RetailFusion,2023-01-07,55371.5,0.0235
Comp_A_RetailFusion,2023-01-08,55412.5,0.0067
Comp_A_RetailFusion,2023-01-09,55574.0,0.0207
Comp_A_RetailFusion,2023-01-10,55713.5,0.0114
Comp_A_RetailFusion,2023-01-11,55776.5,0.0128
Comp_A_RetailFusion,2023-01-13,55807.5,0.0212
Comp_A_RetailFusion,2023-01-15,55925.5,0.0156
Comp_A_RetailFusion,2023-01-16,55989.5,0.0218
Comp_A_RetailFusion,2023-01-18,56122.5,0.02
Comp_A_RetailFusion,2023-01-20,56248.5,0.0116
Comp_A_RetailFusion,2023-01-21,56400.0,0.0188
Comp_A_RetailFusion,2023-01-23,56576.5,0.0156
Comp_A_RetailFusion,2023-01-25,56697.5,0.0156
Comp_A_RetailFusion,2023-01-27,56806.0,0.0207
Comp_A_RetailFusion,2023-01-28,56883.5,0.0173
Comp_A_RetailFusion,2023-01-30,57009.5,0.0141
Comp_A_RetailFusion,2023-01-31,57177.5,0.0153
Comp_A_RetailFusion,2023-02-02,57345.5,0.006
Comp_A_RetailFusion,2023-02-03,57522.5,0.0216
Comp_A_RetailFusion,2023-02-05,57556.5,0.0191
Comp_A_RetailFusion,2023-02-06,57747.5,0.0094
Comp_A_RetailFusion,2023-02-07,57877.5,0.0208
Comp_A_RetailFusion,2023-02-08,57949.5,0.0171
Comp_A_RetailFusion,2023-02-10,58115.5,0.0148
Comp_A_RetailFusion,2023-02-11,58192.5,0.0112
Comp_A_RetailFusion,2023-02-12,58307.5,0.0162
Comp_A_RetailFusion,2023-02-13,58554.5,0.0216
Comp_A_RetailFusion,2023-02-14,58704.5,0.0191
Comp_A_RetailFusion,2023-02-15,58798.5,0.0218
Comp_A_RetailFusion,2023-02-16,58971.5,0.0092
Comp_A_RetailFusion,2023-02-18,59078.5,0.0128
Comp_A_RetailFusion,2023-02-19,59267.5,0.0185
Comp_A_RetailFusion,2023-02-21,59439.5,0.0153
Comp_A_RetailFusion,2023-02-22,59559.5,0.013
Comp_A_RetailFusion,2023-02-24,59789.5,0.0205
Comp_A_RetailFusion,2023-02-26,59919.5,0.0136
Comp_A_RetailFusion,2023-02-28,60019.5,0.0119
Comp_A_RetailFusion,2023-03-01,60160.5,0.0203
Comp_A_RetailFusion,2023-03-03,60288.5,0.0198
Comp_A_RetailFusion,2023-03-05,60377.5,0.0142
Comp_A_RetailFusion,2023-03-07,60476.5,0.0191
Comp_A_RetailFusion,2023-03-09,60551.5,0.0067
Comp_A_RetailFusion,2023-03-10,60666.5,0.017
Comp_A_RetailFusion,2023-03-12,60805.5,0.0198
Comp_A_RetailFusion,2023-03-13,60962.5,0.0142
